input	prediction
Interval	O
Events	O
<EOS>	----
-	O
Had	O
a	B-Sign_or_Symptom
fever	I-Sign_or_Symptom
of	O
39.2	O
and	O
tachycardia	B-Finding
to	O
162	O
at	O
midnight	O
,	O
received	O
acetaminophen	B-Pharmacologic_Substance
and	O
ibuprofen	B-Pharmacologic_Substance
,	O
vitals	B-Health_Care_Activity
were	O
within	O
normal	O
limits	O
rest	O
of	O
night	O
.	O
<EOS>	----
Physical	O
Exam	O
<EOS>	----
Vitals	B-Health_Care_Activity
&	I-CUI_less
Measurements	I-CUI_less
<EOS>	----
T	B-Health_Care_Activity
:	O
38.8	O
°	O
C	B-Health_Care_Activity
HR	B-Health_Care_Activity
:	O
128	O
(	O
Monitored	O
)	O
RR	B-Health_Care_Activity
:	O
32	O
BP	B-Health_Care_Activity
:	O
88	O
/	O
70	O
SpO2	B-Laboratory_Procedure
:	O
96	O
%	O
<EOS>	----
Weight	B-Health_Care_Activity
:	O
10.825	O
kg	O
(	O
69	O
%	O
ile	O
)	O
*	O
;	O
Length	B-Health_Care_Activity
:	O
75	O
cm	O
(	O
6	O
%	O
ile	O
)	O
*	O
;	O
Stature	O
Type	O
:	O
Standing	O
;	O
Head	B-Health_Care_Activity
Circumference	I-Organ_or_Tissue_Function
:	O
50	O
cm	O
(	O
99	O
%	O
ile	O
)	O
*	O
<EOS>	----
*	O
WHO	O
chart	O
used	O
to	O
calculate	O
percentile	O
value	O
.	O
<EOS>	----
General	O
:	O
uncomfortable	B-Sign_or_Symptom
-	O
appearing	O
and	O
crying	O
baby	O
,	O
but	O
NAD	O
<EOS>	----
HEENT	O
:	O
NCAT	B-Finding
,	O
no	O
icterus	B-Finding
,	O
no	O
injection	B-Pathologic_Function
,	O
no	O
conjunctivitis	B-Disease_or_Syndrome
,	O
external	O
nares	O
patent	O
with	O
no	O
discharge	B-Finding
,	O
MMM	B-Body_Part,_Organ,_or_Organ_Component
,	O
oropharynx	O
clear	O
and	O
non	B-CUI_less
-	I-CUI_less
erythematous	I-CUI_less
,	O
no	O
oral	B-Finding
lesions	I-Finding
<EOS>	----
Neck	O
:	O
supple	O
and	O
full	O
ROM	O
,	O
R	B-Spatial_Concept
submandibular	B-Body_Part,_Organ,_or_Organ_Component
node	I-Body_Part,_Organ,_or_Organ_Component
enlarged	B-Qualitative_Concept
but	O
mobile	O
<EOS>	----
CV	O
:	O
RRR	B-CUI_less
,	O
no	O
m	O
/	O
r	O
/	O
g	O
,	O
cap	B-Health_Care_Activity
refill	I-Health_Care_Activity
<	O
2	O
sec	O
<EOS>	----
Resp	O
:	O
CTAB	B-Diagnostic_Procedure
,	O
no	O
increased	B-Finding
WOB	I-Finding
<EOS>	----
Abd	O
:	O
soft	O
,	O
nontender	B-Qualitative_Concept
,	O
nondistended	B-Finding
,	O
no	O
HSM	B-Finding
<EOS>	----
Ext	O
:	O
no	O
cyanosis	B-Sign_or_Symptom
,	O
no	O
edema	B-Sign_or_Symptom
,	O
normal	O
muscle	O
strength	O
and	O
tone	O
,	O
moves	O
limbs	O
with	O
intention	O
and	O
freely	O
against	O
gravity	O
<EOS>	----
Neuro	O
:	O
CN3	O
-	O
12	O
grossly	O
intact	O
<EOS>	----
Skin	O
:	O
no	O
rashes	B-Sign_or_Symptom
or	O
erythema	B-Disease_or_Syndrome
<EOS>	----
Assessment	O
/	O
Plan	O
<EOS>	----
W	O
is	O
a	O
14	O
month	O
old	O
boy	O
with	O
a	B-Therapeutic_or_Preventive_Procedure
PMHx	I-Therapeutic_or_Preventive_Procedure
notable	O
for	O
multiple	B-Temporal_Concept
AOM	B-Disease_or_Syndrome
episodes	B-Temporal_Concept
s	O
/	O
p	O
tympanostomy	B-Medical_Device
tubes	I-Medical_Device
who	O
presented	O
with	O
3	O
days	O
of	O
fever	B-Sign_or_Symptom
,	O
conjunctivitis	B-Disease_or_Syndrome
,	O
and	O
facial	B-Sign_or_Symptom
rash	I-Sign_or_Symptom
who	O
had	O
elevated	B-Qualitative_Concept
inflammatory	I-Laboratory_Procedure
markers	I-Laboratory_Procedure
in	O
the	O
ED	O
.	O
Presentation	O
consistent	O
with	O
viral	B-Disease_or_Syndrome
infection	I-Disease_or_Syndrome
,	O
but	O
concern	O
for	O
Kawasaki	B-Disease_or_Syndrome
disease	I-Disease_or_Syndrome
,	O
MIS	B-CUI_less
-	I-CUI_less
C	I-CUI_less
,	O
or	O
more	B-CUI_less
serious	B-Qualitative_Concept
infection	B-Pathologic_Function
.	O
<EOS>	----
Lowered	O
concern	O
for	O
serious	B-Qualitative_Concept
infection	B-Disease_or_Syndrome
due	O
to	O
lack	O
of	O
identifiable	O
source	O
(	O
neg	O
UA	B-Finding
,	O
no	O
neck	B-Sign_or_Symptom
stiffness	I-Sign_or_Symptom
or	O
neuro	B-Sign_or_Symptom
symptoms	I-Sign_or_Symptom
,	O
blood	B-Laboratory_Procedure
Cx	I-Laboratory_Procedure
no	O
growth	B-Finding
to	O
date	O
,	O
no	O
GI	B-Finding
Sx	I-Finding
such	O
as	O
vomiting	B-Sign_or_Symptom
or	O
diarrhea	B-Sign_or_Symptom
,	O
no	O
breaks	B-Finding
in	I-Finding
skin	I-Finding
)	O
.	O
<EOS>	----
MIS	O
-	O
C	O
less	O
likely	O
i	O
/	O
s	O
/	O
o	O
negative	B-CUI_less
SARS	B-CUI_less
-	I-CUI_less
CoV	I-CUI_less
-	I-CUI_less
2	I-CUI_less
testing	I-CUI_less
.	O
<EOS>	----
Overall	O
collection	O
of	O
symptoms	O
includes	O
several	O
days	O
of	O
fevers	B-Sign_or_Symptom
and	O
multiple	O
(	O
conjunctival	B-Pathologic_Function
injection	I-Pathologic_Function
,	O
